func_no,func_desc,vessel_code,vessel_name,maker,model
581.022.0010,FW UV sterilizer,BOB,BW Bobcat,Samkun Century Co Ltd,JSA1000
702.310.0010,HFO purifier 1,BOB,BW Bobcat,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
702.310.0020,HFO purifier 2,BOB,BW Bobcat,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
712.310.0010,ME LO purifier 1,BOB,BW Bobcat,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
712.310.0020,ME LO purifier 2,BOB,BW Bobcat,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
581.022.0010,FW UV sterilizer,CHT,BW Cheetah,Samkun Century Co Ltd,JSA1000
702.310.0010,HFO purifier 1,CHT,BW Cheetah,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
702.310.0020,HFO purifier 2,CHT,BW Cheetah,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
712.310.0010,ME LO purifier 1,CHT,BW Cheetah,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
712.310.0020,ME LO purifier 2,CHT,BW Cheetah,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
581.022.0010,FW UV sterilizer,CGR,Hafnia Cougar,Samkun Century Co Ltd,JSA1000
702.310.0010,HFO purifier 1,CGR,Hafnia Cougar,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
702.310.0020,HFO purifier 2,CGR,Hafnia Cougar,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-0136-067
712.310.0010,ME LO purifier 1,CGR,Hafnia Cougar,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
712.310.0020,ME LO purifier 2,CGR,Hafnia Cougar,[MKR]GEA Westfalia Separator Group GmbH,OSE 10-91-067/6
702.310.0010,HFO purifier 1,DEA,Hafnia Despina,[MKR]ALFA LAVAL,S 946
702.310.0020,HFO purifier 2,DEA,Hafnia Despina,[MKR]ALFA LAVAL,S 946
712.310.0010,ME LO purifier 1,DEA,Hafnia Despina,[MKR]ALFA LAVAL,P 615
712.310.0020,ME LO purifier 2,DEA,Hafnia Despina,[MKR]ALFA LAVAL,P 615
712.320.0010,AE LO purifier,DEA,Hafnia Despina,[MKR]ALFA LAVAL,P 605
581.022.0010,FW UV sterilizer,EAG,Hafnia Eagle,Samkun Century Co Ltd,JSA1000
702.310.0010,HFO purifier 1,EAG,Hafnia Eagle,[MKR]GEA Westfalia Separator Group GmbH,OSE 20-0136-067/18
702.310.0020,HFO purifier 2,EAG,Hafnia Eagle,[MKR]GEA Westfalia Separator Group GmbH,OSE 20-0136-067/18
